============================================================== BACKTESTING REPORT ==============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |
|  DENT/USDT |         1 |          -0.73 |          -0.73 |            -7.324 |          -0.07 |        0:15:00 |     0     0     1     0 |
|  ARPA/USDT |         1 |          -1.30 |          -1.30 |           -12.969 |          -0.13 |       14:30:00 |     0     0     1     0 |
|   BCH/USDT |         1 |          -1.38 |          -1.38 |           -13.780 |          -0.14 |       14:30:00 |     0     0     1     0 |
|      TOTAL |         8 |          -0.37 |          -2.99 |           -29.998 |          -0.30 |        9:33:00 |     2     0     6  25.0 |
================== SUMMARY METRICS ==================
| Metric                      | Value               |
|-----------------------------+---------------------|
| Backtesting from            | 2022-10-01 00:00:00 |
| Backtesting to              | 2022-12-01 00:00:00 |
| Max open trades             | 10                  |
|                             |                     |
| Total/Daily Avg Trades      | 1265 / 20.74        |
| Starting balance            | 10000 USDT          |
| Final balance               | 10033.395 USDT      |
| Absolute profit             | 33.395 USDT         |
| Total profit %              | 0.33%               |
| CAGR %                      | 2.01%               |
| Profit factor               | 1.00                |
| Trades per day              | 20.74               |
| Avg. daily profit %         | 0.01%               |
| Avg. stake amount           | 999.149 USDT        |
| Total trade volume          | 1263923.516 USDT    |
|                             |                     |
| Long / Short                | 589 / 676           |
| Total profit Long %         | 8.46%               |
| Total profit Short %        | -8.13%              |
| Absolute profit Long        | 846.099 USDT        |
| Absolute profit Short       | -812.705 USDT       |
|                             |                     |
| Best Pair                   | EGLD/USDT 16.04%    |
| Worst Pair                  | XRP/USDT -24.48%    |
| Best trade                  | BTCDOM/USDT 2.23%   |
| Worst trade                 | LINA/USDT -5.35%    |
| Best day                    | 452.65 USDT         |
| Worst day                   | -529.833 USDT       |
| Days win/draw/lose          | 25 / 0 / 37         |
| Avg. Duration Winners       | 9:39:00             |
| Avg. Duration Loser         | 12:55:00            |
| Rejected Entry signals      | 1202876             |
| Entry/Exit Timeouts         | 0 / 0               |
|                             |                     |
| Min balance                 | 9546.544 USDT       |
| Max balance                 | 11162.746 USDT      |
| Max % of account underwater | 14.48%              |
| Absolute Drawdown (Account) | 14.48%              |
| Absolute Drawdown           | 1616.202 USDT       |
| Drawdown high               | 1162.746 USDT       |
| Drawdown low                | -453.456 USDT       |
| Drawdown Start              | 2022-11-09 09:10:00 |
| Drawdown End                | 2022-11-14 07:55:00 |
| Market change               | -15.73%             |
=====================================================
