,date,ticker,open,high,low,close
160,2024-06-19T13:20:00.000Z,xauusd,2329.11,2330.92,2328.5,2330.84
161,2024-06-19T13:25:00.000Z,xauusd,2330.93,2331.52,2329.37,2329.8
162,2024-06-19T13:30:00.000Z,xauusd,2329.86,2329.98,2329.23,2329.56
163,2024-06-19T13:35:00.000Z,xauusd,2329.52,2329.84,2328.15,2328.49
164,2024-06-19T13:40:00.000Z,xauusd,2328.51,2330.56,2328.27,2329.83
165,2024-06-19T13:45:00.000Z,xauusd,2329.84,2329.88,2328.84,2329.62
166,2024-06-19T13:50:00.000Z,xauusd,2329.59,2330.04,2328.87,2329.12
167,2024-06-19T13:55:00.000Z,xauusd,2329.15,2329.33,2327.99,2328.24
168,2024-06-19T14:00:00.000Z,xauusd,2328.22,2328.43,2323.93,2324.2
169,2024-06-19T14:05:00.000Z,xauusd,2325.27,2326.36,2325.04,2325.94
170,2024-06-19T14:10:00.000Z,xauusd,2325.93,2326.7,2325.81,2326.15
